epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5902,1.51797,11.7483,0.99526,0.06425,0.33613,0.03721,0.02044,2.00235,17.2997,1.1011,0.00052,0.00052,0.00052
2,45.0634,1.59032,2.33905,0.99677,0.01551,0.15126,0.00451,0.00318,1.88003,36.9117,1.14235,0.00105475,0.00105475,0.00105475
3,61.7349,1.5891,1.34134,1.02976,6e-05,0.0084,3e-05,2e-05,nan,nan,nan,0.00158416,0.00158416,0.00158416
4,79.7771,1.54638,1.12525,1.01957,0.01042,0.47059,0.00669,0.00284,nan,nan,nan,0.0019703,0.0019703,0.0019703
5,97.1465,1.52242,1.00081,0.9934,0.38864,0.51261,0.28512,0.15335,1.64324,2.28319,1.0513,0.0019604,0.0019604,0.0019604
6,113.728,1.54323,0.93657,1.00365,0.80558,0.84034,0.84425,0.41982,1.64904,1.42608,1.12064,0.0019505,0.0019505,0.0019505
7,129.096,1.43623,0.91172,0.99339,0.16957,0.42017,0.09058,0.05843,1.95112,6.82796,1.28406,0.0019406,0.0019406,0.0019406
8,142.448,1.42591,0.84764,1.01054,0.896,0.79832,0.83146,0.43857,1.50402,1.35421,0.9986,0.0019307,0.0019307,0.0019307
9,159.785,1.51638,0.87681,0.99176,0.92543,0.52148,0.55917,0.37452,1.76016,1.96747,1.04708,0.0019208,0.0019208,0.0019208
10,177.603,1.44748,0.79954,0.98462,0.84531,0.83193,0.87956,0.48854,1.44767,0.86291,0.97827,0.0019109,0.0019109,0.0019109
11,191.683,1.30269,0.73629,0.937,0.8726,0.83193,0.86644,0.45917,1.47211,1.36852,0.99588,0.001901,0.001901,0.001901
12,208.213,1.28042,0.76496,0.93701,0.85844,0.91724,0.93486,0.55465,1.41567,0.93022,0.97569,0.0018911,0.0018911,0.0018911
13,224.499,1.29261,0.71765,0.97017,0.83439,0.84679,0.91698,0.55827,1.39167,0.89978,0.96678,0.0018812,0.0018812,0.0018812
14,240.559,1.25319,0.7103,0.93617,0.82115,0.7563,0.87278,0.53698,1.40798,0.97109,0.98528,0.0018713,0.0018713,0.0018713
15,255.989,1.26004,0.68499,0.92433,0.91825,0.84951,0.93407,0.56777,1.33704,0.71303,0.97458,0.0018614,0.0018614,0.0018614
16,273.326,1.27641,0.66548,0.92712,0.918,0.94958,0.95646,0.59093,1.34669,0.65035,0.94644,0.0018515,0.0018515,0.0018515
17,288.73,1.22093,0.65694,0.93742,0.94518,0.86935,0.92829,0.60119,1.2779,0.72239,0.93975,0.0018416,0.0018416,0.0018416
18,303.53,1.27856,0.67546,0.93336,0.89296,0.81513,0.8954,0.53896,1.45863,0.74258,0.9563,0.0018317,0.0018317,0.0018317
19,321.55,1.18103,0.65192,0.93249,0.80961,0.79832,0.86474,0.53553,1.37465,1.27036,0.94919,0.0018218,0.0018218,0.0018218
20,336.976,1.22403,0.6834,0.92024,0.90404,0.87395,0.9149,0.51195,1.39622,0.89222,0.96242,0.0018119,0.0018119,0.0018119
21,353.852,1.17444,0.64697,0.92686,0.80395,0.83193,0.89624,0.57076,1.27261,0.87463,0.91908,0.001802,0.001802,0.001802
22,370.61,1.16216,0.60502,0.90344,0.86757,0.89916,0.93476,0.59598,1.25994,0.71551,0.91734,0.0017921,0.0017921,0.0017921
23,384.592,1.14393,0.59434,0.91377,0.84511,0.91704,0.94389,0.59841,1.28863,0.68546,0.92505,0.0017822,0.0017822,0.0017822
